Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
IWM,196.52,Put,185,2023-09-15,51,1.65,1.67,1.68,1.59,8270,116834,"-55,543",20.16%,"15:06 ET"
HYG,75.48,Put,73,2023-10-20,86,0.42,0.51,0.6,0.49,7055,131226,"-9,900",9.50%,"15:06 ET"
IWM,196.52,Put,180,2023-08-18,23,0.31,0.32,0.32,0.3,3733,56820,"-9,106",22.86%,"15:07 ET"
SPY,455.22,Call,460,2023-07-28,2,0.21,0.22,0.22,0.22,29614,30516,"-8,795",14.34%,"15:19 ET"
QQQ,377.7,Put,379,2023-08-11,16,6.9,6.93,6.96,6.48,532,1686,"-7,759",17.06%,"15:11 ET"
SPY,455.22,Put,432,2023-09-15,51,2.47,2.48,2.48,2.2,614,52900,"-6,264",15.61%,"15:03 ET"
FXI,28.95,Call,29,2023-07-28,2,0.2,0.22,0.23,0.21,11256,15316,"-6,041",30.90%,"15:11 ET"
HYG,75.48,Put,70,2023-10-20,86,0.22,0.27,0.31,0.26,11970,107427,"-5,763",12.85%,"15:03 ET"
SPY,455.22,Put,415,2023-08-18,23,0.32,0.33,0.33,0.31,530,58895,"-5,562",20.30%,"15:18 ET"
XLF,35.54,Call,37,2024-01-19,177,1.06,1.07,1.08,1.14,2425,37177,"-5,009",14.75%,"14:40 ET"
FXI,28.95,Call,29,2023-08-04,9,0.49,0.51,0.52,0.55,3063,13303,"-4,490",30.64%,"14:45 ET"
FXI,28.95,Call,29.85,2023-09-15,51,0.84,0.86,0.88,0.89,8787,54525,"-3,825",28.49%,"14:54 ET"
SPY,455.22,Put,425,2023-10-20,86,3.63,3.64,3.65,3.53,1760,32778,"-3,517",16.95%,"15:14 ET"
FXI,28.95,Put,26.85,2023-08-18,23,0.16,0.17,0.17,0.16,2647,90007,"-3,479",28.88%,"14:57 ET"
SPY,455.22,Call,460,2023-08-18,23,2.89,2.9,2.9,2.87,11652,38367,"-3,298",11.23%,"15:18 ET"
KRE,48.89,Call,46,2023-07-28,2,2.95,3,3.05,3.11,2244,2025,"-2,686",68.94%,"14:48 ET"
EEM,41.46,Call,41,2023-07-28,2,0.49,0.52,0.54,0.55,3084,21381,"-2,542",25.01%,"15:07 ET"
IWM,196.52,Call,194,2023-07-28,2,2.52,2.55,2.59,2.55,5383,21148,"-2,467",25.72%,"15:09 ET"
SPY,455.22,Put,418,2023-08-18,23,0.36,0.37,0.37,0.33,3056,84453,"-2,249",19.39%,"15:17 ET"
SPY,455.22,Call,452,2023-08-18,23,7.17,7.18,7.19,7.12,1570,12978,"-2,157",12.74%,"15:18 ET"
SPY,455.22,Call,451,2023-07-28,2,3.73,3.78,3.83,3.78,1449,42220,"-2,112",16.30%,"15:18 ET"
VXX,22.7,Put,24,2023-08-18,23,1.89,1.94,2,1.87,2041,19078,"-2,017",61.12%,"15:09 ET"
VXX,22.7,Put,22,2023-08-18,23,0.62,0.65,0.68,0.77,2382,30000,"-1,910",49.12%,"14:52 ET"
SPY,455.22,Put,432,2023-08-18,23,0.77,0.78,0.78,0.73,1195,22184,"-1,850",15.53%,"15:18 ET"
KWEB,30.14,Call,30,2023-07-28,2,0.46,0.48,0.49,0.47,3438,8686,"-1,612",50.25%,"15:09 ET"
QQQ,377.7,Put,380,2023-08-04,9,6.64,6.67,6.7,6.6,3104,13973,"-1,605",18.11%,"15:18 ET"
IWM,196.52,Call,198,2023-07-28,2,0.5,0.51,0.52,0.55,7550,4270,"-1,540",22.89%,"15:17 ET"
EEM,41.46,Call,42,2023-08-04,9,0.19,0.21,0.22,0.25,629,10673,"-1,464",17.19%,"14:43 ET"
KRE,48.89,Call,49,2023-08-18,23,1.62,1.66,1.69,1.66,1089,20844,"-1,453",34.86%,"15:18 ET"
SPY,455.22,Put,420,2023-09-15,51,1.57,1.58,1.58,1.57,658,67394,"-1,417",17.99%,"15:18 ET"
SPY,455.22,Put,450,2023-08-04,9,1.64,1.65,1.65,1.65,11901,26539,"-1,368",11.50%,"15:18 ET"
FXI,28.95,Call,30,2023-08-18,23,0.41,0.43,0.45,0.47,7807,11456,"-1,332",29.33%,"14:37 ET"
DPST,90,Call,5,2023-09-15,51,3.7,4,4.3,4.2,1028,4067,"-1,330",0.00%,"14:46 ET"
SPY,455.22,Put,448,2023-07-28,2,0.28,0.29,0.29,0.29,8116,12911,"-1,301",14.56%,"15:18 ET"
DIA,354.79,Put,351,2023-07-28,2,0.35,0.37,0.38,0.35,1878,2914,"-1,285",12.83%,"15:18 ET"
KRE,48.89,Call,50,2023-08-18,23,1.16,1.19,1.22,1.19,7393,73139,"-1,241",33.97%,"15:18 ET"
SPY,455.22,Put,446,2023-07-28,2,0.14,0.15,0.15,0.15,5389,8278,"-1,133",15.38%,"15:18 ET"
QQQ,377.7,Call,410,2023-10-20,86,2.58,2.61,2.63,2.56,530,8479,"-1,098",16.01%,"15:18 ET"
XLF,35.54,Call,37,2023-09-15,51,0.23,0.24,0.24,0.23,3624,24822,"-1,083",13.01%,"15:10 ET"
